Reading,Lower Range,Upper Range,Unit,Symbol
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
100,0,100,CPU Percent,%
